item,item_max,orig_mean_score,orig_mean_pct,250w_mean_score,250w_mean_pct,improvement_250_abs,improvement_250_pct,300w_mean_score,300w_mean_pct,improvement_300_abs,improvement_300_pct
Title,1,0.225140712945591,22.5140712945591,0.8780487804878049,87.8048780487805,0.6529080675422139,65.29080675422139,0.8789868667917449,87.89868667917449,0.6538461538461539,65.38461538461539
Trial_Design,2,0.6125703564727955,30.628517823639772,0.9718574108818011,48.592870544090054,0.35928705440900566,17.964352720450282,1.0469043151969981,52.34521575984991,0.43433395872420266,21.716697936210135
Participants,2,1.0872420262664164,54.36210131332082,1.6041275797373358,80.2063789868668,0.5168855534709194,25.844277673545974,1.646341463414634,82.3170731707317,0.5590994371482176,27.954971857410882
Intervention,2,1.4136960600375235,70.68480300187618,1.703564727954972,85.17823639774859,0.2898686679174485,14.493433395872415,1.726078799249531,86.30393996247655,0.31238273921200754,15.619136960600372
Objective,1,0.7720450281425891,77.20450281425892,0.8067542213883677,80.67542213883677,0.03470919324577859,3.4709193245778494,0.8264540337711069,82.6454033771107,0.054409005628517804,5.44090056285178
Method_Outcome,2,1.1181988742964353,55.909943714821765,1.6651031894934334,83.25515947467167,0.5469043151969981,27.345215759849907,1.701688555347092,85.0844277673546,0.5834896810506567,29.174484052532833
Randomisation_Allocation,2,0.29924953095684803,14.962476547842401,1.2560975609756098,62.80487804878049,0.9568480300187617,47.84240150093809,1.2889305816135084,64.44652908067542,0.9896810506566603,49.48405253283302
Blinding,3,0.3227016885553471,10.756722951844903,0.797373358348968,26.5791119449656,0.47467166979362097,15.822388993120697,0.8602251407129456,28.67417135709819,0.5375234521575986,17.917448405253285
Number_Randomised,2,0.8198874296435272,40.99437148217636,1.146341463414634,57.3170731707317,0.3264540337711068,16.32270168855534,1.2138836772983115,60.69418386491557,0.39399624765478425,19.69981238273921
Number_Analysed,2,0.4549718574108818,22.74859287054409,0.8095684803001876,40.47842401500938,0.35459662288930577,17.72983114446529,0.9549718574108818,47.74859287054409,0.49999999999999994,24.999999999999996
Result_Outcome,3,1.9606003752345216,65.35334584115073,2.265478424015009,75.51594746716698,0.30487804878048763,10.162601626016254,2.310506566604128,77.01688555347093,0.3499061913696062,11.663539712320201
Harms,1,0.36679174484052535,36.67917448405254,0.7617260787992496,76.17260787992495,0.39493433395872424,39.493433395872415,0.7917448405253283,79.17448405253283,0.424953095684803,42.495309568480295
Trial_Registration,1,0.20168855534709193,20.16885553470919,0.4474671669793621,44.746716697936215,0.2457786116322702,24.577861163227023,0.45121951219512196,45.1219512195122,0.24953095684803003,24.953095684803007
Funding,1,0.016885553470919325,1.6885553470919326,0.2570356472795497,25.70356472795497,0.24015009380863037,24.015009380863038,0.26454033771106944,26.454033771106943,0.2476547842401501,24.76547842401501
